DrzavaID,Zlato,Srebro,Bron,Skupaj
JPN,10,7,3,20
AUT,8,5,7,20
POL,6,5,2,13
GER,5,11,11,27
SLO,3,3,5,11
NOR,2,1,4,7
RUS,0,1,2,3
ITA,0,1,0,1
