DrzavaID,Zlato,Srebro,Bron,Skupaj
AUT,15,10,12,37
ZDA,9,4,2,15
JPN,5,9,3,17
NOR,3,3,7,13
POL,2,2,3,7
SLO,2,0,3,5
GER,1,6,4,11
SUI,1,2,2,5
CZE,0,1,1,2
FRA,0,1,0,1
ITA,0,0,1,1
