DrzavaID,Zlato,Srebro,Bron,Skupaj
AUT,11,7,11,29
JPN,7,6,1,14
NOR,5,7,7,19
ZDA,4,3,3,10
GER,3,5,5,13
SLO,3,3,4,10
POL,2,2,2,6
CZE,2,1,1,4
FRA,1,2,3,6
SUI,0,1,1,2
RUS,0,1,0,1
