DrzavaID,Zlato,Srebro,Bron,Skupaj
SLO,14,9,7,30
AUT,9,7,9,25
JPN,5,3,5,13
NOR,4,8,6,18
GER,3,7,5,15
POL,0,1,1,2
RUS,0,0,1,1
FRA,0,0,1,1
