DrzavaID,Zlato,Srebro,Bron,Skupaj
SLO,26,9,10,45
AUT,16,19,24,59
GER,13,16,10,39
NOR,3,15,9,27
JPN,3,0,4,7
CAN,1,0,3,4
SUI,0,3,1,4
POL,0,0,1,1
