DrzavaID,Zlato,Srebro,Bron,Skupaj
AUT,10,11,8,29
NOR,9,5,9,23
GER,6,8,4,18
JPN,4,4,3,11
POL,4,3,2,9
SLO,0,1,6,7
SUI,0,1,0,1
ITA,0,0,1,1
