DrzavaID,Zlato,Srebro,Bron,Skupaj
SLO,15,8,5,28
JPN,4,2,6,12
NOR,2,7,7,16
GER,1,4,2,7
AUT,1,3,3,7
CZE,1,0,0,1
RUS,0,0,1,1
