DrzavaID,Zlato,Srebro,Bron,Skupaj
AUT,30,18,22,70
SLO,19,13,16,48
NOR,12,8,10,30
JPN,7,15,6,28
GER,5,14,11,30
FRA,2,1,0,3
CAN,0,3,7,10
POL,0,1,2,3
SUI,0,1,1,2
FIN,0,1,0,1
