DrzavaID,Zlato,Srebro,Bron,Skupaj
GER,6,0,2,8
SLO,4,4,4,12
AUT,3,3,6,12
POL,2,1,0,3
CZE,2,0,2,4
NOR,1,5,3,9
JPN,1,3,1,5
SUI,0,2,0,2
ZDA,0,1,0,1
CAN,0,0,1,1
