DrzavaID,Zlato,Srebro,Bron,Skupaj
NOR,10,11,6,27
POL,10,3,6,19
GER,6,7,6,19
AUT,1,3,3,7
SLO,1,1,1,3
JPN,0,2,5,7
SUI,0,1,0,1
RUS,0,0,1,1
