DrzavaID,Zlato,Srebro,Bron,Skupaj
SLO,41,16,6,63
JPN,11,17,16,44
AUT,7,18,14,39
NOR,7,8,14,29
GER,1,5,16,22
CAN,1,4,1,6
SUI,1,0,0,1
KIT,0,1,0,1
BOL,0,0,1,1
FIN,0,0,1,1
