DrzavaID,Zlato,Srebro,Bron,Skupaj
JPN,12,4,9,25
POL,8,3,4,15
GER,6,12,4,22
AUT,5,4,5,14
SLO,4,7,5,16
NOR,2,4,3,9
RUS,1,1,3,5
FIN,1,0,1,2
SUI,0,2,3,5
FRA,0,1,1,2
ZDA,0,1,0,1
ITA,0,0,1,1
