DrzavaID,Zlato,Srebro,Bron,Skupaj
NOR,24,16,9,49
AUT,17,18,22,57
SLO,11,23,18,52
GER,9,7,11,27
POL,7,6,8,21
JPN,6,4,6,16
CAN,1,1,1,3
