DrzavaID,Zlato,Srebro,Bron,Skupaj
JPN,17,6,9,32
NOR,15,7,6,28
GER,8,20,16,44
AUT,4,6,3,13
POL,3,8,8,19
SLO,2,1,7,10
RUS,0,1,0,1
