Država,Zlato,Srebro,Bron,Skupaj
Avstrija,107,103,118,328
Slovenija,116,85,73,274
Norveška,79,79,79,237
Nemčija,50,82,73,205
Poljska,27,22,28,77
Japonska,7,11,15,33
Kanada,3,8,13,24
U.s.,11,7,4,22
Švica,2,9,7,18
Sfr yugoslavia[1],5,5,6,16
Netherlands[1],8,5,3,16
Francija,3,4,5,12
Czechoslovakia,2,2,1,5
Sfr yugoslavia,1,0,2,3
Finska,1,1,1,3
Norwegian,0,1,1,2
Italija,0,0,2,2
Švedska,0,1,1,2
Češka,0,0,1,1
10,1,0,0,1
Bulgaria,0,0,1,1
Ussr,0,0,1,1
Rusija,0,0,1,1
China,0,1,0,1
