DrzavaID,Drzava,Zlato,Srebro,Bron,Skupaj
POL,poljska,0,0,0,0
FRA,francija,0,0,0,0
GER,nemčija,0,0,0,0
UNK,,0,0,0,0
NOR,norveška,0,0,0,0
AUT,avstrija,0,0,0,0
YUG,Jugoslavija,0,0,0,0
FIN,finska,0,0,0,0
CAN,kanada,0,0,0,0
BUL,Bulgaria,0,0,0,0
SUI,švica,0,0,0,0
U.S,U.s.,0,0,0,0
SLO,slovenija,0,0,0,0
CZE,češka,0,0,0,0
JPN,japonska,0,0,0,0
ITA,italija,0,0,0,0
NET,Netherlands[1],0,0,0,0
CHI,China,0,0,0,0
SWE,švedska,0,0,0,0
USS,Ussr,0,0,0,0
RUS,rusija,0,0,0,0
