DrzavaID,Drzava,Zlato,Srebro,Bron,Skupaj
AUT,Avstrija,140,133,150,423
SLO,slovenija,146,106,100,352
NOR,norveška,109,111,109,329
GER,Nemčija,75,126,114,315
JPN,Japonska,97,85,77,259
POL,Poljska,49,39,45,133
ZDA,Zda,13,9,5,27
CAN,Kanada,3,8,13,24
SUI,Švica,2,13,8,23
RUS,Rusija,1,4,8,13
FRA,Francija,3,5,5,13
CZE,Češka,5,2,4,11
FIN,Finska,1,1,2,4
ITA,Italija,0,1,3,4
BOL,Bolgarija,0,0,1,1
KIT,Kitajska,0,1,0,1
